序號,縣市,業者,品項,批號,有效日期,備註
,花蓮縣,91APP,福壽辣椒油-3L,BL140526F,20280430,福壽自行揭露
,臺北市,may1025316,福壽香油-3L,BS100626L,20280603,福壽自行揭露
,臺北市,mini_luo,福壽辣椒油-3L,BL140526F,20280430,福壽自行揭露
,臺北市,PCHOME,福壽大豆沙拉油-3L,C1190526K,20270518,福壽自行揭露
,臺北市,PCHOME,福壽大豆沙拉油-600CC,C1120526A,20270511,福壽自行揭露
,宜蘭縣,人人寵物有限公司,好味香油 ２００ｇP*12,BL080626H,2028/05/21,福壽自行揭露
,宜蘭縣,人人寵物有限公司,福壽好味香油-200g,BL080626H,20280521,福壽自行揭露
,桃園市,八方行食品股份有限公司,福壽大豆沙拉油-18L,C2200526O,20270519,福壽自行揭露
,高雄市,十代有限公司,健味香油 ３Ｌ(P*6),BL240426L,20280419,福壽自行揭露
,高雄市,十代有限公司,福壽炸酥油 １８Ｌ,BL260526D,2027/05/25,福壽自行揭露
,高雄市,十代有限公司,福壽炸酥油-18L,BL260526D,20270525,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL080526L,20280428,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL110626L,20280607,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL150626L,20280607,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL240426L,20280419,福壽自行揭露
,高雄市,十代有限公司,福壽辣椒油-3L,BL150426F,20280408,福壽自行揭露
,新北市,天成糧行,福壽大豆沙拉油-18L,C2240426O,20270423,福壽自行揭露
,新北市,天成糧行,福壽大豆沙拉油-3L,C1070526K,20270506,福壽自行揭露
,新北市,天成糧行,福壽大豆沙拉油-3L,C1160626K,20270615,福壽自行揭露
,新北市,天成糧行,福壽炸酥油 １８Ｌ,BL220526D,2027/05/21,福壽自行揭露
,新北市,天成糧行,福壽炸酥油-18L,BL150626D,20270614,福壽自行揭露
,新北市,天成糧行,福壽炸酥油-18L,BL190526D,20270518,福壽自行揭露
,新北市,天成糧行,福壽炸酥油-18L,BL220526D,20270521,福壽自行揭露
,新北市,天成糧行,福壽炸酥油-18L,BL290426D,20270428,福壽自行揭露
,新北市,天成糧行,福壽胡麻油-3L,BL040526L,20280306,福壽自行揭露
,新北市,天成糧行,福壽胡麻油-3L,BL210526L,20280320,福壽自行揭露
,臺北市,太子置業有限公司,福壽大豆沙拉油-18L,C2040626O,20270603,福壽自行揭露
,臺北市,太子置業有限公司,福壽大豆沙拉油-18L,C2140526O,20270513,福壽自行揭露
,臺南市,太太樂國際行銷有限公司,福壽好味香油-200g,BL120526H,20280428,福壽自行揭露
,臺南市,太太樂國際行銷有限公司,福壽好味香油-200g,BL170426H,20280410,福壽自行揭露
,高雄市,太平洋食品廠,福壽大豆沙拉油-18L,C2040626O,20270603,福壽自行揭露
,高雄市,太平洋食品廠,福壽大豆沙拉油-18L,C2110526O,20270510,福壽自行揭露
,臺中市,太御食品股份有限公司,沙拉油 １８Ｌ,C2260526O,2027/05/25,福壽自行揭露
,臺中市,太御食品股份有限公司,福壽大豆沙拉油-18L,C2040626O,20270603,福壽自行揭露
,臺中市,鑫臺有限公司,福壽香油-3L,BS180626L,20280607,福壽自行揭露
,臺中市,鑫臺有限公司,福壽辣椒油-3L,BL140426F,20280408,福壽自行揭露
