序號,縣市,業者,品項,批號,有效日期,備註
1,基隆市,三和行,益康大豆沙拉油 18L,20270410000407,2027.04.10,
2,基隆市,天祐食品股份有限公司,㇐級黃豆油,202605221313,2026/5/22,
3,基隆市,好樂迪基隆店,金酥耐炸油-18L,20270417,20270417,
3,基隆市,好樂迪基隆店,金酥耐炸油-18L,20270522,20270522,延續前一列品項的批號/日期
4,基隆市,佑錡國際有限公司,沙拉油 18Ｌ(福壽),C2140426P,2027.04.13,
4,基隆市,佑錡國際有限公司,沙拉油 18Ｌ(福壽),C2140426O,2027.04.13,
4,基隆市,佑錡國際有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13,
4,基隆市,佑錡國際有限公司,福壽大豆沙拉油-3L,C1140426K,20270413,
4,基隆市,佑錡國際有限公司,福壽大豆沙拉油-3L,C1180526K,20270517,延續前一列品項的批號/日期
4,基隆市,佑錡國際有限公司,福壽大豆沙拉油-3L,C1190526K,20270518,延續前一列品項的批號/日期
4,基隆市,佑錡國際有限公司,福壽大豆沙拉油-18L,C2140426O,20270413,
4,基隆市,佑錡國際有限公司,福壽大豆沙拉油-18L,C2140426P,20270413,延續前一列品項的批號/日期
4,基隆市,佑錡國際有限公司,福壽大豆沙拉油-18L,C2190526O,20270518,延續前一列品項的批號/日期
4,基隆市,佑錡國際有限公司,福壽好味香油-3L,BL300426L,20280419,
4,基隆市,佑錡國際有限公司,福壽香油-3L,BS150526L,20280428,
4,基隆市,佑錡國際有限公司,福壽香油-3L,BS270426L,20280419,延續前一列品項的批號/日期
5,基隆市,谷樺國際有限公司,沙拉油-18L,20270414,20270414,
5,基隆市,谷樺國際有限公司,沙拉油-18L,20270521,20270521,延續前一列品項的批號/日期
5,基隆市,谷樺國際有限公司,黃金優選大豆沙拉油-3L*6,20270416,20270416,
6,基隆市,林O珠,好味香油 ３Ｌ(P*6),BL030626L,2028/05/19,
7,基隆市,信興油行,益康大豆沙拉油(18L),20270414000408,2027/04/14,
7,基隆市,信興油行,益康烹調油(調合油),20270413000403,2027.04.13,
8,基隆市,楊O奇,福壽大豆沙拉油-18L,C2090426O,20270408,
9,基隆市,榮義盛行,沙拉油-0.6L*12,20270416,20270416,
9,基隆市,榮義盛行,沙拉油-18L,20270410,20270410,
9,基隆市,榮義盛行,沙拉油-18L(泰山),2027040901,2027.04.09,
9,基隆市,榮義盛行,花生風味精華調合油-2L,BL130426F,20280108,
9,基隆市,榮義盛行,金酥耐炸油-18L,20270421,20270421,
9,基隆市,榮義盛行,黃金優選大豆沙拉油-3L*6,20270414,20270414,
10,基隆市,蔡O彤,益康大豆沙拉油 18L,20270410000407,2027.04.10,
11,基隆市,聯華食品工業股份有限公司,㇐級黃豆油,202605201313,2026/5/20,
11,基隆市,聯華食品工業股份有限公司,香油－Ａ ３Ｌ,BS050626L,2028/06/03,
11,基隆市,聯華食品工業股份有限公司,香油－Ａ ３Ｌ,BS100626L,2028/06/03,延續前一列品項的批號/日期
11,基隆市,聯華食品工業股份有限公司,福壽香油-3L,BS060526L,20280428,
11,基隆市,聯華食品工業股份有限公司,福壽香油-3L,BS270426L,20280419,延續前一列品項的批號/日期
12,基隆市,聯華食品工業股份有限公司-基隆,㇐級黃豆油,202604101315,2026.10.04,
13,基隆市,謝O昌,福壽大豆沙拉油-18L,C2150526O,20270514,
13,基隆市,謝O昌,福壽香油-3L,BS180526L,20280428,
14,臺北市,小箖海產店,福壽炸酥油-18L,BL200426D,20270419,
14,臺北市,小箖海產店,福壽炸酥油-18L,BL210426D,20270420,延續前一列品項的批號/日期
15,臺北市,予揚生技研發股份有限公司,福壽大豆沙拉油-18L,C2230426O,20270422,
16,臺北市,六張犁饅頭有限公司,福壽香油-3L,BS220426L,20280419,
17,臺北市,六福開發股份有限公司南港分公司,益康大豆沙拉油 18L,20270528000408,2027/5/28,
17,臺北市,六福開發股份有限公司南港分公司,益康大豆沙拉油18L,2.02704e+13,2027/4/15,原資料以科學記號紀載，無從判定油品序號
17,臺北市,六福開發股份有限公司南港分公司,益康大豆沙拉油18L,20270521000408,2027/05/21,延續前一列品項的批號/日期
17,臺北市,六福開發股份有限公司南港分公司,益康大豆沙拉油(18L),20270414000408,2027/04/14,
18,臺北市,北平半畝園餐廳,沙拉油 １８Ｌ,C2220526O,2027/05/21,
18,臺北市,北平半畝園餐廳,福壽大豆沙拉油-18L,C2240426O,20270423,
19,臺北市,立琴實業社,沙拉油-18L,20270415,20270415,
19,臺北市,立琴實業社,黃金優選大豆沙拉油-18L,20270415,20270415,
20,臺北市,全聯實業股份有限公司,不飽和大豆沙拉油-2L,C1160426A,20280410,
20,臺北市,全聯實業股份有限公司,花生風味精華調合油-2L,BL100426F,20280108,
20,臺北市,全聯實業股份有限公司,花生風味精華調合油-2L,BL130426F,20280108,延續前一列品項的批號/日期
20,臺北市,全聯實業股份有限公司,香油（全） ２００ｇP*20,BS030626H,2028/05/31,
20,臺北市,全聯實業股份有限公司,香油（全） ２００ｇP*20,BS040626H,2028/05/31,延續前一列品項的批號/日期
20,臺北市,全聯實業股份有限公司,頂級香油 ５００ｇP*12,BL270526H,2028/05/15,
20,臺北市,全聯實業股份有限公司,福壽大豆沙拉油-3L(全),C1140426K,20270413,
20,臺北市,全聯實業股份有限公司,福壽大豆沙拉油-3L(全),C1240426K,20270423,延續前一列品項的批號/日期
20,臺北市,全聯實業股份有限公司,福壽大豆沙拉油-600CC,C1230426A,20270422,
20,臺北市,全聯實業股份有限公司,福壽香油-200g,BS070526H,20280428,
20,臺北市,全聯實業股份有限公司,福壽香油-200g,BS080526H,20280428,延續前一列品項的批號/日期
20,臺北市,全聯實業股份有限公司,福壽香油-200g,BS110526H,20280428,延續前一列品項的批號/日期
20,臺北市,全聯實業股份有限公司,福壽頂級香油-500g,BL240426H,20280419,
20,臺北市,全聯實業股份有限公司,福壽頂級香油-500g,BL280426H,20280419,延續前一列品項的批號/日期
21,臺北市,合泰什糧行,益康大豆沙拉油 18L,20270527000408,2027/5/27,
22,臺北市,合泰雜糧行,福壽大豆沙拉油-18L,C2090426O,20270408,
22,臺北市,合泰雜糧行,福壽香油-3L,BS180526L,20280428,
23,臺北市,合貿食品有限公司,不飽和大豆沙拉油-2L,C1160426A,20280410,
24,臺北市,好樂迪中興店,金酥耐炸油-18L,20270417,20270417,
24,臺北市,好樂迪中興店,金酥耐炸油-18L,20270421,20270421,延續前一列品項的批號/日期
24,臺北市,好樂迪中興店,金酥耐炸油-18L,20270522,20270522,延續前一列品項的批號/日期
25,臺北市,好樂迪內湖店,金酥耐炸油-18L,20270417,20270417,資料列跨頁，序號/業者/品項由座標重組(請人工複核)
25,臺北市,好樂迪內湖店,金酥耐炸油-18L,20270421,20270421,延續前一列品項的批號/日期
25,臺北市,好樂迪內湖店,金酥耐炸油-18L,20270522,20270522,延續前一列品項的批號/日期
26,臺北市,好樂迪石牌店,金酥耐炸油-18L,20270417,20270417,
26,臺北市,好樂迪石牌店,金酥耐炸油-18L,20270522,20270522,延續前一列品項的批號/日期
27,臺北市,好樂迪通化店,金酥耐炸油-18L,20270417,20270417,
27,臺北市,好樂迪通化店,金酥耐炸油-18L,20270522,20270522,延續前一列品項的批號/日期
28,臺北市,好樂迪錦州店,金酥耐炸油-18L,20270417,20270417,
28,臺北市,好樂迪錦州店,金酥耐炸油-18L,20270522,20270522,延續前一列品項的批號/日期
29,臺北市,好樂迪館前店,金酥耐炸油-18L,20270417,20270417,
29,臺北市,好樂迪館前店,金酥耐炸油-18L,20270522,20270522,延續前一列品項的批號/日期
30,臺北市,旭昇雜糧行,沙拉油 18Ｌ(福壽),C2210426O,2027.04.20,
30,臺北市,旭昇雜糧行,沙拉油 １８Ｌ,C2270526O,2027/05/26,
30,臺北市,旭昇雜糧行,福壽大豆沙拉油-18L,C2210426O,20270420,
30,臺北市,旭昇雜糧行,福壽香油-3L,BS210426L,20280413,
30,臺北市,旭昇雜糧行,福壽香油-3L,BS220426L,20280419,延續前一列品項的批號/日期
31,臺北市,吳O騰,福壽大豆沙拉油-18L,C2090426O,20270408,
31,臺北市,吳O騰,福壽大豆沙拉油-600CC,C1220426A,20270421,
32,臺北市,宏潤食品有限公司,好味香油 ３Ｌ(P*6),BL030626L,2028/05/19,
32,臺北市,宏潤食品有限公司,沙拉油 18Ｌ(福壽),C2210426O,2027.04.20,
32,臺北市,宏潤食品有限公司,沙拉油 １８Ｌ,C2260526O,2027/05/25,
32,臺北市,宏潤食品有限公司,沙拉油 １８Ｌ,C2280526O,2027/05/27,延續前一列品項的批號/日期
32,臺北市,宏潤食品有限公司,福壽大豆沙拉油-3L,C1210426K,20270420,
32,臺北市,宏潤食品有限公司,福壽大豆沙拉油-18L,C2210426O,20270420,
32,臺北市,宏潤食品有限公司,福壽大豆沙拉油-18L,C2220426O,20270421,延續前一列品項的批號/日期
32,臺北市,宏潤食品有限公司,福壽大豆沙拉油-18L,C2240426O,20270423,延續前一列品項的批號/日期
32,臺北市,宏潤食品有限公司,福壽好味香油-3L,BL160426L,20280410,
32,臺北市,宏潤食品有限公司,福壽炸酥油-18L,BL160426D,20270415,
33,臺北市,李O憲,福壽大豆沙拉油-18L,C2130426P,20270412,
33,臺北市,李O憲,福壽大豆沙拉油-18L,C2160426O,20270415,延續前一列品項的批號/日期
33,臺北市,李O憲,福壽大豆沙拉油-18L,C2190526O,20270518,延續前一列品項的批號/日期
33,臺北市,李O憲,福壽炸酥油-18L,BL150526D,20270514,
34,臺北市,良友國際食品股份有限公司,益康大豆沙拉油 18KG,20270526000408,2027/5/26,
34,臺北市,良友國際食品股份有限公司,益康大豆沙拉油(18KG),20270416000408,2027/04/16,
35,臺北市,邢O玲,沙拉油 18Ｌ(福壽),C2150426O,2027.04.15,
35,臺北市,邢O玲,沙拉油 １８Ｌ,C2210526O,2027/05/20,
35,臺北市,邢O玲,沙拉油 １８Ｌ,C2270526O,2027/05/26,延續前一列品項的批號/日期
35,臺北市,邢O玲,香油－Ａ ３Ｌ,BS100626L,2028/06/03,
35,臺北市,邢O玲,福壽大豆沙拉油-18L,C2150426O,20270414,
35,臺北市,邢O玲,福壽大豆沙拉油-18L,C2150526O,20270514,延續前一列品項的批號/日期
35,臺北市,邢O玲,福壽大豆沙拉油-18L,C2210526O,20270520,延續前一列品項的批號/日期
35,臺北市,邢O玲,福壽大豆沙拉油-18L,C2220426O,20270421,延續前一列品項的批號/日期
35,臺北市,邢O玲,福壽好味香油-3L,BL160426L,20280410,
35,臺北市,邢O玲,福壽胡麻油-3L,BL200426L,20280210,
35,臺北市,邢O玲,福壽香油-3L,BS210426L,20280413,
36,臺北市,周O青,益康大豆沙拉油 18L,20270410000407,2027.04.10,
37,臺北市,忠青商行-大遠百信義A13店,油炸專用油-18L,2027.05.28,2027/5/28,
37,臺北市,忠青商行-大遠百信義A13店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
37,臺北市,忠青商行-大遠百信義A13店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
37,臺北市,忠青商行-大遠百信義A13店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
38,臺北市,忠青商行-天母大葉高島屋,油炸專用油-18L,20270417,20270417,
39,臺北市,忠青商行-台北101店,油炸專用油-18L,2027.05.28,2027/5/28,
39,臺北市,忠青商行-台北101店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
39,臺北市,忠青商行-台北101店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
39,臺北市,忠青商行-台北101店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
40,臺北市,忠青商行-微風北車,油炸專用油-18L,2027.05.28,2027/5/28,
40,臺北市,忠青商行-微風北車,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
40,臺北市,忠青商行-微風北車,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
41,臺北市,明月湯包小吃店,沙拉油 １８Ｌ,C2220526O,2027/05/21,
41,臺北市,明月湯包小吃店,福壽大豆沙拉油-18L,C2230426O,20270422,
42,臺北市,林O雯,福壽好味香油-3L,BL190526L,20280428,
43,臺北市,炒湘湘-9000微風信義店,油炸專用油-18L,2027.05.28,2027/5/28,
43,臺北市,炒湘湘-9000微風信義店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
43,臺北市,炒湘湘-9000微風信義店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
43,臺北市,炒湘湘-9000微風信義店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
44,臺北市,金魚有限公司,福壽大豆沙拉油-18L,C2240426O,20270423,
44,臺北市,金魚有限公司,福壽炸酥油 １８Ｌ,BL200526D,2027/05/19,
44,臺北市,金魚有限公司,福壽炸酥油-18L,BL200526D,20270519,
45,臺北市,南僑油脂事業股份有限公司,㇐級黃豆油,315-1150404,115.9.30,
45,臺北市,南僑油脂事業股份有限公司,㇐級黃豆油(福壽),1150510,20270509,
46,臺北市,姜太太包子店,福壽好味香油-3L,BL160426L,20280410,
47,臺北市,故宮晶華股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10,
